"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.469798707E0,-9.799999744E-2,-1.280000061E-1,6.050000191E-1
1.474786399E0,-4.189999998E-1,-3.230000138E-1,4.670000076E-1
1.479774105E0,-6.399999857E-1,-2.980000079E-1,2.300000004E-2
1.484761798E0,-6.280000210E-1,-2.960000038E-1,1.829999983E-1
1.489749490E0,-4.779999852E-1,-2.899999917E-1,6.039999723E-1
1.494737168E0,-3.880000114E-1,-2.739999890E-1,8.790000081E-1
1.499724861E0,-3.709999919E-1,-2.060000002E-1,1.016000032E0
1.504712554E0,-2.649999857E-1,-1.030000001E-1,1.098000050E0
1.509700232E0,-2.249999940E-1,5.600000173E-2,1.210000038E0
1.514687924E0,-2.220000029E-1,1.770000011E-1,1.199000001E0
1.519675386E0,-2.709999979E-1,2.319999933E-1,1.250000000E0
1.524663076E0,-3.070000112E-1,2.579999864E-1,1.263000011E0
1.529650769E0,-3.510000110E-1,2.349999994E-1,1.231999993E0
1.534638461E0,-1.889999956E-1,2.430000007E-1,1.241999984E0
1.539626149E0,-1.889999956E-1,1.490000039E-1,1.292999983E0
1.544613842E0,-1.340000033E-1,1.300000027E-2,1.338000059E0
1.549601534E0,-1.469999999E-1,-1.239999980E-1,1.307999969E0
1.554589136E0,-3.700000048E-2,-2.119999975E-1,1.340999961E0
1.559576827E0,-1.999999955E-2,-2.919999957E-1,1.179999948E0
1.564564596E0,1.190000027E-1,-2.660000026E-1,9.840000272E-1
1.569552213E0,1.700000018E-1,-2.319999933E-1,6.420000196E-1
1.574539904E0,2.329999954E-1,-1.650000066E-1,3.260000050E-1
1.579527596E0,3.000000119E-1,-1.449999958E-1,1.230000034E-1
1.584515302E0,3.549999893E-1,-1.459999979E-1,2.000000095E-3
1.589502995E0,3.700000048E-1,-2.319999933E-1,-1.560000032E-1
1.594490668E0,4.659999907E-1,-2.660000026E-1,-2.000000095E-3
1.599478360E0,5.820000172E-1,-2.049999982E-1,1.909999996E-1
1.604466053E0,5.609999895E-1,-1.469999999E-1,2.790000141E-1
1.609453496E0,4.889999926E-1,-1.609999985E-1,4.029999971E-1
1.614441186E0,3.889999986E-1,-2.479999959E-1,5.099999905E-1
1.619428879E0,2.129999995E-1,-3.490000069E-1,5.379999876E-1
1.624416561E0,1.420000046E-1,-4.650000036E-1,5.699999928E-1
1.629404253E0,6.700000167E-2,-5.329999924E-1,5.210000277E-1
1.634391937E0,1.749999970E-1,-5.509999990E-1,5.070000291E-1
1.639379629E0,3.330000043E-1,-5.040000081E-1,4.569999874E-1
1.644367321E0,8.370000124E-1,-5.120000243E-1,3.619999886E-1
1.649354994E0,8.339999914E-1,-3.310000002E-1,2.820000052E-1
1.654342687E0,4.639999866E-1,-2.169999927E-1,4.510000050E-1
1.659330366E0,3.639999926E-1,-1.469999999E-1,2.249999940E-1
1.664318059E0,2.070000023E-1,-1.129999980E-1,-3.079999983E-1
1.669305751E0,2.700000070E-2,-6.599999964E-2,-7.340000272E-1
1.674293433E0,-1.340000033E-1,-4.300000146E-2,-9.570000172E-1
1.679281125E0,-1.570000052E-1,-1.300000027E-2,-1.057000041E0
1.684268817E0,-1.640000045E-1,6.700000167E-2,-1.192000031E0
1.689256433E0,-4.899999872E-2,1.469999999E-1,-1.398000002E0
1.694244124E0,-6.800000370E-2,2.399999946E-1,-1.557000041E0
1.699231816E0,-5.600000173E-2,3.030000031E-1,-1.631999969E0
1.704219508E0,-1.230000034E-1,3.210000098E-1,-1.666000009E0
1.709207201E0,-2.520000041E-1,3.540000021E-1,-1.646999955E0
1.714194874E0,-3.770000041E-1,3.700000048E-1,-1.550999999E0
1.719182337E0,-4.609999955E-1,3.650000095E-1,-1.338000059E0
1.724170259E0,-4.930000007E-1,3.389999866E-1,-1.149000049E0
1.729157967E0,-4.499999881E-1,2.730000019E-1,-9.649999738E-1
1.734145659E0,-4.000000060E-1,2.129999995E-1,-7.720000148E-1
1.739133121E0,-3.030000031E-1,1.589999944E-1,-5.429999828E-1
1.744121042E0,-2.800000012E-1,1.080000028E-1,-3.840000033E-1
1.749108736E0,-2.319999933E-1,1.899999939E-2,-2.119999975E-1
1.754096198E0,-2.430000007E-1,-7.199999690E-2,-2.199999988E-2
1.759084124E0,-3.339999914E-1,-1.899999976E-1,2.140000015E-1
1.764071818E0,3.799999878E-2,-2.949999869E-1,3.219999969E-1
1.769059280E0,4.189999998E-1,-4.199999869E-1,3.400000036E-1
1.774046970E0,4.469999969E-1,-5.220000148E-1,5.360000134E-1
1.779034662E0,4.449999928E-1,-5.780000091E-1,4.580000043E-1
1.784022355E0,5.189999938E-1,-6.309999824E-1,2.280000001E-1
1.789010013E0,5.410000086E-1,-6.159999967E-1,-8.000000380E-3
